Delta_E_AB_AB,BSSE_A,BSSE_B,x,y,z
0.005510754331154999,0.00033425065173275925,0.0003342566582773543,1.75,1.5,0.75
0.004048576666761505,0.0002774462608954309,0.0002774306481256872,1.75,1.5,1.0
0.0028291581937338606,0.0002393162951506156,0.00023932622750066912,1.75,1.5,1.25
0.0019637387911757287,0.0002132137812509427,0.00021324192039173795,1.75,1.5,1.5
0.0014171761158223717,0.00019030817863097127,0.0001903062111523468,1.75,1.5,1.75
0.0033573882878670247,0.00033773937428804857,0.0003377336869050396,1.75,1.75,0.25
0.0032768680125343508,0.00029155316906326334,0.00029152216208672144,1.75,1.75,0.5
0.002828137540078046,0.00025614836425802423,0.0002561390702879862,1.75,1.75,0.75
0.002249085773186721,0.0002303494252089422,0.00023034663736609673,1.75,1.75,1.0
0.0017164058412362238,0.00020922858071514838,0.0002092045916413099,1.75,1.75,1.25
0.0013118665069100643,0.00018760544610074703,0.00018761281744161806,1.75,1.75,1.5
0.0010425900253920872,0.00016520835875155626,0.00016520784956242096,1.75,1.75,1.75
