Delta_E_AB_AB,BSSE_A,BSSE_B,x,y,z
-0.0003368167913748721,0.0005374704019089904,0.000742627988699951,1.75,2.5,0.25
-0.0006820238134679357,0.0005197584493856766,0.0006870772229774502,1.75,2.5,0.5
-0.001073917967786997,0.0004900275683752398,0.0006070541601843615,1.75,2.5,0.75
-0.0013606083777659705,0.00044969157963237194,0.0005157075302264502,1.75,2.5,1.0
-0.0014662108580125732,0.00040140625135620667,0.00042411736014003054,1.75,2.5,1.25
-0.001395729256429945,0.00034817668588971173,0.00033929628422413316,1.75,2.5,1.5
-0.0012022905030875108,0.0002934660815725465,0.0002657050959840035,1.75,2.5,1.75
-0.0003043090500653989,0.00043938895616690843,0.0005871142928413065,1.75,2.75,0.25
-0.0004948800290378585,0.0004257392978530561,0.000540469080746675,1.75,2.75,0.5
-0.0007174487714962652,0.0004018852260685435,0.00047585311520492724,1.75,2.75,0.75
-0.000888003672088189,0.0003684060943669465,0.00040451556716902815,1.75,2.75,1.0
-0.0009581915863634549,0.00032764061506895814,0.0003345785445958427,1.75,2.75,1.25
-0.0009231173215340505,0.00028306701040037296,0.00027142029510685006,1.75,2.75,1.5
-0.0008076632024653918,0.00023877708335362513,0.0002182575665585773,1.75,2.75,1.75
